,Nearest City Names,Countries,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
423,Barentsburg,SJ,-1.75,87.37,32.26,100,8.75,20
424,Adrar,DZ,1.47,27.41,101.83,10,5.5,32
425,Hilo,US,-164.32,5.02,82.48,100,6.17,76
426,Bluff,NZ,169.73,-53.35,45.76,99,24.29,24
427,Hami,CN,90.08,40.6,80.95,31,6.96,100
428,Ushuaia,AR,-51.59,-66.52,18.58,96,20.27,88
429,Tiksi,RU,129.7,84.3,32.08,98,18.81,80
430,Damietta,EG,32.03,32.71,77.17,100,6.73,0
431,Aklavik,CA,-137.67,66.6,69.43,44,12.1,48
432,Tamandare,BR,-31.64,-9.83,79.96,100,19.26,12
433,Rikitea,PF,-129.18,-89.45,-56.13,0,2.93,8
434,Atuona,PF,-140.43,4.7,80.95,100,7.74,56
435,Hilo,US,-148.14,28.11,72.67,99,12.66,12
436,Bluff,NZ,175.26,-76.89,4.0,100,24.85,48
437,Xuddur,SO,44.5,5.97,85.9,41,12.44,8
438,College,US,-148.35,72.81,29.65,100,7.4,68
439,Vao,NC,168.69,-24.67,69.88,100,16.46,92
440,Punta Arenas,CL,-86.23,-51.85,38.29,100,20.6,92
441,Belyy Yar,RU,85.31,58.73,64.3,58,7.4,8
442,Kavieng,PG,152.1,15.06,83.65,98,11.54,0
443,Vestmannaeyjar,IS,-21.41,60.9,50.35,95,25.19,92
444,Barentsburg,SJ,11.19,82.04,32.44,97,16.46,76
445,Hithadhoo,MV,84.91,-10.44,79.78,100,14.0,68
446,Karamea,NZ,170.82,-39.31,54.31,100,7.4,88
447,Halalo,WF,-178.59,-16.91,79.78,100,5.61,92
448,Georgetown,SH,-11.43,-6.5,77.98,100,16.13,68
449,Kropotkin,RU,116.78,58.14,41.8,90,2.15,0
450,Esna,EG,33.48,25.21,94.9,16,12.21,0
451,Hofn,IS,-10.41,66.73,45.58,93,12.21,0
452,Rikitea,PF,-133.49,-33.18,65.65,99,31.45,44
453,Campbell River,CA,-125.5,51.91,69.7,52,2.37,20
454,Rapid Valley,US,-101.94,43.71,75.2,50,3.36,1
455,Rikitea,PF,-141.04,-42.24,52.15,100,29.44,12
456,Lakes Entrance,AU,151.17,-40.48,58.27,100,16.69,32
457,Belmonte,BR,-35.82,-16.78,77.17,100,3.15,48
458,Alcaniz,ES,-0.53,40.72,82.4,37,5.82,12
459,Husavik,IS,-16.87,67.51,44.5,89,16.13,92
460,Port Alfred,ZA,50.12,-76.09,-51.54,0,11.99,24
461,Bambous Virieux,MU,80.38,-32.14,64.39,97,27.87,100
462,Listvyagi,RU,86.57,53.47,56.11,76,3.27,0
463,East London,ZA,46.19,-61.79,25.87,100,19.26,68
464,Tumannyy,RU,36.84,68.68,47.56,80,0.81,92
465,Carnarvon,AU,87.49,-33.3,61.42,99,23.73,76
466,Bredasdorp,ZA,20.14,-83.2,-59.73,0,20.27,0
467,Qaanaaq,GL,-73.8,84.46,32.17,100,11.43,92
468,Guanare,VE,-69.71,9.42,83.26,74,2.48,40
469,Mataura,PF,-153.15,-43.35,53.59,100,30.67,48
470,Mataura,PF,-147.91,-64.25,2.65,100,6.4,0
471,Ushuaia,AR,-36.03,-63.89,21.28,94,24.74,92
472,Belushya Guba,RU,41.26,88.77,32.35,100,15.01,44
473,Grand Gaube,MU,59.87,-18.91,76.72,100,11.32,92
474,Ilulissat,GL,-48.66,68.87,33.43,94,15.46,68
475,San Juan,AR,-69.03,-30.83,52.96,71,2.71,8
476,Saskylakh,RU,111.64,74.16,33.34,97,21.83,88
477,Khash,IR,62.28,27.46,86.98,11,10.65,0
478,Albany,AU,106.11,-89.69,-46.59,0,3.38,36
479,Hermanus,ZA,12.06,-78.6,-53.61,0,11.65,24
480,Samarai,PG,151.86,-13.82,76.45,100,22.84,20
481,Atuona,PF,-129.53,6.46,78.97,100,6.62,64
482,Belushya Guba,RU,46.22,87.14,32.62,96,16.02,56
483,Mataura,PF,-147.73,-87.84,-35.79,47,15.79,8
484,Illoqqortoormiut,GL,-20.93,78.98,33.61,93,2.59,0
485,Rikitea,PF,-140.21,-66.6,30.1,93,29.89,92
486,Khatanga,RU,106.62,72.82,52.33,100,19.71,100
487,Attawapiskat,CA,-82.47,53.14,57.73,47,12.33,8
488,Hilo,US,-156.9,2.47,80.77,100,11.99,36
489,Ushuaia,AR,-69.96,-73.92,-1.41,60,15.68,0
490,Mao,TD,13.56,15.69,87.97,46,3.38,56
491,Belushya Guba,RU,53.16,70.55,33.88,89,19.26,88
492,Amderma,RU,68.1,76.88,27.76,91,7.96,44
493,Ushuaia,AR,-29.23,-68.18,16.78,95,8.52,88
494,Umm Kaddadah,SD,28.38,15.54,89.23,34,3.27,8
495,Chokurdakh,RU,148.85,70.09,52.87,73,6.17,0
496,Dong Xoai,VN,107.25,11.91,72.31,97,2.15,100
497,Yellowknife,CA,-111.88,77.68,32.44,100,16.46,80
498,Sentyabrskiy,RU,155.4,37.66,69.88,90,26.31,92
499,Rikitea,PF,-140.6,-37.78,58.0,100,28.43,32
